id,recalled,biological_sex,word_frequency
1,16,female,common
2,14,female,common
3,17,female,common
4,13,female,common
5,16,female,common
6,14,female,common
7,11,female,common
8,16,female,common
9,17,female,common
10,14,female,common
11,15,female,common
12,14,female,common
13,15,female,common
14,16,female,common
15,15,female,common
16,15,female,common
17,12,female,common
18,15,female,common
19,10,female,common
20,14,female,common
21,5,female,rare
22,12,female,rare
23,9,female,rare
24,12,female,rare
25,10,female,rare
26,6,female,rare
27,10,female,rare
28,7,female,rare
29,12,female,rare
30,9,female,rare
31,10,female,rare
32,11,female,rare
33,9,female,rare
34,11,female,rare
35,9,female,rare
36,11,female,rare
37,9,female,rare
38,10,female,rare
39,6,female,rare
40,9,female,rare
41,16,male,common
42,12,male,common
43,13,male,common
44,12,male,common
45,9,male,common
46,11,male,common
47,14,male,common
48,12,male,common
49,13,male,common
50,15,male,common
51,11,male,common
52,13,male,common
53,16,male,common
54,9,male,common
55,12,male,common
56,13,male,common
57,13,male,common
58,8,male,common
59,9,male,common
60,14,male,common
61,4,male,rare
62,8,male,rare
63,13,male,rare
64,10,male,rare
65,10,male,rare
66,6,male,rare
67,10,male,rare
68,5,male,rare
69,9,male,rare
70,7,male,rare
71,6,male,rare
72,7,male,rare
73,10,male,rare
74,9,male,rare
75,6,male,rare
76,5,male,rare
77,8,male,rare
78,6,male,rare
79,9,male,rare
80,7,male,rare
