id,recalled,task,word_frequency
1,11,free_recall,low
2,12,free_recall,low
3,9,free_recall,low
4,8,free_recall,low
5,9,free_recall,low
6,7,free_recall,low
7,10,free_recall,low
8,13,free_recall,low
9,12,free_recall,low
10,8,free_recall,low
11,12,free_recall,low
12,9,free_recall,low
13,9,free_recall,low
14,12,free_recall,low
15,7,free_recall,low
16,12,free_recall,low
17,5,free_recall,low
18,10,free_recall,low
19,11,free_recall,low
20,14,free_recall,low
21,10,free_recall,low
22,9,free_recall,low
23,11,free_recall,low
24,8,free_recall,low
25,10,free_recall,low
26,12,free_recall,high
27,12,free_recall,high
28,12,free_recall,high
29,13,free_recall,high
30,16,free_recall,high
31,13,free_recall,high
32,10,free_recall,high
33,13,free_recall,high
34,11,free_recall,high
35,13,free_recall,high
36,13,free_recall,high
37,11,free_recall,high
38,7,free_recall,high
39,12,free_recall,high
40,15,free_recall,high
41,15,free_recall,high
42,14,free_recall,high
43,14,free_recall,high
44,14,free_recall,high
45,13,free_recall,high
46,15,free_recall,high
47,12,free_recall,high
48,14,free_recall,high
49,13,free_recall,high
50,12,free_recall,high
51,17,recognition,low
52,12,recognition,low
53,17,recognition,low
54,17,recognition,low
55,16,recognition,low
56,13,recognition,low
57,14,recognition,low
58,14,recognition,low
59,11,recognition,low
60,17,recognition,low
61,13,recognition,low
62,13,recognition,low
63,18,recognition,low
64,14,recognition,low
65,14,recognition,low
66,15,recognition,low
67,16,recognition,low
68,15,recognition,low
69,16,recognition,low
70,15,recognition,low
71,13,recognition,low
72,12,recognition,low
73,15,recognition,low
74,15,recognition,low
75,16,recognition,low
76,7,recognition,high
77,9,recognition,high
78,9,recognition,high
79,12,recognition,high
80,11,recognition,high
81,12,recognition,high
82,9,recognition,high
83,8,recognition,high
84,9,recognition,high
85,11,recognition,high
86,7,recognition,high
87,6,recognition,high
88,13,recognition,high
89,9,recognition,high
90,7,recognition,high
91,13,recognition,high
92,11,recognition,high
93,9,recognition,high
94,11,recognition,high
95,9,recognition,high
96,7,recognition,high
97,9,recognition,high
98,8,recognition,high
99,12,recognition,high
100,11,recognition,high
